,id,comment_txt,sentiment_txt,parent_class_txt,child_class_txt
0,24c5c1ca5-06c9-483a-9244-2412bf261d37,Крупный хороший лук. ,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
1,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe22afaa64-a45d-4f73-aac8-9005ff34af1d,Заказ доставили быстро,SENTIMENT_POSITIVE,Удобство и скорость кассы,Время ожидания в очереди к кассе
2,2bf492ee6-606f-428b-905c-547f27ae3377,присутствует не приятный запах. ,SENTIMENT_NEGATIVE,Чистота и порядок,Запах в магазине
3,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fef8e57a66-cadb-4237-b800-1df3482e2de1,"Очень хороший магазин, рядом с домой, вежливые продавцы, есть все необходимые товары",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
4,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fef8e57a66-cadb-4237-b800-1df3482e2de1,"Очень хороший магазин, рядом с домой, вежливые продавцы, есть все необходимые товары",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Наличие товара на полке
5,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fef8e57a66-cadb-4237-b800-1df3482e2de1,"Очень хороший магазин, рядом с домой, вежливые продавцы, есть все необходимые товары",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
6,148fc5fc-c83c-4505-b050-1b039e565985d891d064-98d7-4180-98d0-409fd319357a,"Немного грязновато, возможно погодные условия, плитка на полу сколота, а так компактный удобный магазин",SENTIMENT_NEGATIVE,Чистота и порядок,Чистота и порядок в торговом зале
7,148fc5fc-c83c-4505-b050-1b039e565985d891d064-98d7-4180-98d0-409fd319357a,"Немного грязновато, возможно погодные условия, плитка на полу сколота, а так компактный удобный магазин",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
8,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fecc134e89-c568-4290-bf74-7599ca76bc30,"Мне все нравится, товары, продавцы, скидки",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
9,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fecc134e89-c568-4290-bf74-7599ca76bc30,"Мне все нравится, товары, продавцы, скидки",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
10,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fecc134e89-c568-4290-bf74-7599ca76bc30,"Мне все нравится, товары, продавцы, скидки",SENTIMENT_POSITIVE,Скидки и акции,Цена после скидки
11,4026f997-868c-4633-9c00-e05573a65ac9a4cdbef2-9638-41cd-91a1-93dd242f4898,"Удобно,быстро",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
12,ed66954e-16c8-4d0b-bc1a-b620d46024d1b14ea004-e506-46b6-9835-bd730c8c1c0c,"Лучший магнит на районе , самый отзывчивый и любезный персонал , Даже после того , как переехала от туда продолжаю пользоваться этим магнитом 👍",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
13,ed66954e-16c8-4d0b-bc1a-b620d46024d1b14ea004-e506-46b6-9835-bd730c8c1c0c,"Лучший магнит на районе , самый отзывчивый и любезный персонал , Даже после того , как переехала от туда продолжаю пользоваться этим магнитом 👍",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
14,148fc5fc-c83c-4505-b050-1b039e5659854a889974-6df0-48f5-9bb4-9af4e8ebf59a,"Как и все пенсионеры чтобы были приемлемые цены а не как в ""перекрёстке"".всего доброго. Раньше у нас не было вашей фирмы",SENTIMENT_POSITIVE,Уровень цен,Выгодность цен
15,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fea2b8a837-bf49-40ff-8071-b25438aa77e9,"Хороший ассортимент, удобно для меня расположен. Покупал фрукты - спелые и вкусные.",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
16,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fea2b8a837-bf49-40ff-8071-b25438aa77e9,"Хороший ассортимент, удобно для меня расположен. Покупал фрукты - спелые и вкусные.",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
17,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fea2b8a837-bf49-40ff-8071-b25438aa77e9,"Хороший ассортимент, удобно для меня расположен. Покупал фрукты - спелые и вкусные.",SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
19,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fee4b77fa7-4c46-4954-8fb9-c16c65c83021,"В магазине творится порядка, некоторые продукты в плесени",SENTIMENT_NEGATIVE,Чистота и порядок,Чистота и порядок в торговом зале
20,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fee4b77fa7-4c46-4954-8fb9-c16c65c83021,"В магазине творится порядка, некоторые продукты в плесени",SENTIMENT_NEGATIVE,Свежесть и качество,Свежесть продуктов
22,ed66954e-16c8-4d0b-bc1a-b620d46024d1816c2315-2a57-44b4-a29e-96319b8338c6,"В этом магазине работают самые отзывчивые,компетентные и красивыепродавца-консультанта. Большой ассортимент, чисто, доброжелательный персонал. Все супер",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
24,29ea12414-31fd-4710-aa30-4d966f56e6c3,"Очень нравится такое ассорти и поэтому всегда беру, когда скидка!) ",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
25,29ea12414-31fd-4710-aa30-4d966f56e6c3,"Очень нравится такое ассорти и поэтому всегда беру, когда скидка!) ",SENTIMENT_POSITIVE,Скидки и акции,Цена после скидки
26,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe2a48bbbe-c373-44a1-a4ad-2f1263e2b450,"Отличный магазин у дома ,директор супер",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
27,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe047c4945-3a5f-4214-97ea-8fd8abe837ca,Обновление Интерьере магазина и добавление новинок,SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Наличие интересных новинок
28,20565728-6fde-458e-962e-70600a9e452b38564d5e-bb65-45a8-805b-525b78032c17,Система бонусов худшая,SENTIMENT_NEGATIVE,Условия по карте лояльности,Условия акций со сборов фишек / наклеек / подарков
29,200232085-d72a-4f96-964d-d3db320d335d,"Тверское молоко ""Искренне Ваш"" знаю давно, ещё из магазина ""Ближние Горки"", качество хорошее. В последнее время беру только его.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
30,2dc1c16e5-156d-4599-95b7-5ee971a67502,"очень вкусный,в следующий раз снова куплю.
рекомендую.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
31,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe50ed7831-2b85-4f0a-a28e-abb511afba90,"Удобно у дома, продавцы вежливые отзывчивые, всегда помогут и посоветуют. И вообще мне нравится Магнит..",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
32,309d07a2-70d9-47b2-8ed8-c317fa073bd702219931-3812-4c37-9a8a-42f61352f50a,Классно обслужили,SENTIMENT_POSITIVE,Удобство и скорость кассы,Время обслуживания/ сканирования на кассе
33,2142cbe74-f172-419a-9668-09fc0ea16a5b,"Плоды ровные, без видимых повреждений, не сухие. Зерна яркие, сочные, вкус в меру с кислинкой.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
34,2e2779a60-8f34-499f-867a-065f2cac07d9,"свежая, цена как в ленте, советую к приобретению. берите не пожалеете. вкусная. качественный товар. ",SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
35,2e2779a60-8f34-499f-867a-065f2cac07d9,"свежая, цена как в ленте, советую к приобретению. берите не пожалеете. вкусная. качественный товар. ",SENTIMENT_POSITIVE,Ценники,Корректность ценника
36,2e2779a60-8f34-499f-867a-065f2cac07d9,"свежая, цена как в ленте, советую к приобретению. берите не пожалеете. вкусная. качественный товар. ",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
38,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe20caa51f-1fa6-4cef-b8f0-e6f855a4e9dc,"Отличный магазин, сотрудники",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
39,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe62dd8ead-403e-4098-a460-1920f8845fa4,"Очень хороший магазин, все чисто, аккуратно. Девочки всегда помогут, подскажут.",SENTIMENT_POSITIVE,Чистота и порядок,Чистота и порядок в торговом зале
40,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe62dd8ead-403e-4098-a460-1920f8845fa4,"Очень хороший магазин, все чисто, аккуратно. Девочки всегда помогут, подскажут.",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
41,2ac0ad9be-ccc0-4e46-b208-722c226eb6b9,"Мясо вкусное, уже брали, но вот банка впервые пришла без открывашки-ключа - это, конечно, плохо, вроде не прошлый век. Вряд ли ещё закажу. За это снижаю звезду",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
42,2ac0ad9be-ccc0-4e46-b208-722c226eb6b9,"Мясо вкусное, уже брали, но вот банка впервые пришла без открывашки-ключа - это, конечно, плохо, вроде не прошлый век. Вряд ли ещё закажу. За это снижаю звезду",SENTIMENT_NEGATIVE,Удобство поиска нужного товара,Удобство взять или упаковать товар
43,2f1316b20-3c99-4472-8f51-c6560cc5be95,отличные букеты,SENTIMENT_POSITIVE,Свежесть и качество,Привлекательный внешний вид отдела
44,2f4217fc3-c78d-4863-b7ea-6bcb16922a6f,Хороший сыр,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
45,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe849aa020-e576-4abf-b109-2ec0dc631b59,На кассе не могут отпустить товар по акции ссылаясь что не проводится по программе.И не однократное несоответствие ценников.,SENTIMENT_NEGATIVE,Скидки и акции,Цена после скидки
46,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe849aa020-e576-4abf-b109-2ec0dc631b59,На кассе не могут отпустить товар по акции ссылаясь что не проводится по программе.И не однократное несоответствие ценников.,SENTIMENT_NEGATIVE,Ценники,Корректность ценника
47,6d0ae636-52ad-4fa5-b4e8-0fead2cc84feda1af184-cbaf-4431-9450-e04e0ed610c7,"Отличный магазин, отзывчивый персонал, всегда чистота.",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
48,2a7535c88-63bd-41c3-8f93-a60980cf0f2a,вкусные ,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
49,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe02c9ac7b-fc84-4f92-a916-c7f4561f433d,"Фрукты и овощи, как всегда в непрезентабельном виде (смесь испорченных и свежих), отсутствие ценников или недостоверная информация на них.",SENTIMENT_NEGATIVE,Свежесть и качество,Свежесть продуктов
50,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe02c9ac7b-fc84-4f92-a916-c7f4561f433d,"Фрукты и овощи, как всегда в непрезентабельном виде (смесь испорченных и свежих), отсутствие ценников или недостоверная информация на них.",SENTIMENT_NEGATIVE,Ценники,Наличие ценников
51,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe02c9ac7b-fc84-4f92-a916-c7f4561f433d,"Фрукты и овощи, как всегда в непрезентабельном виде (смесь испорченных и свежих), отсутствие ценников или недостоверная информация на них.",SENTIMENT_NEGATIVE,Ценники,Корректность ценника
52,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe6c850d8a-26dc-481c-af23-e0233990671a,Черри оказались с плесенью.,SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
54,269e2956d-22d1-4351-80bb-b156f970a464,очень сладкий,SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
57,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe5b604537-387b-4cf1-be28-734bd13fbdf0,Всегда все есть,SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Наличие товара на полке
58,29be0a09c-9ec9-411a-936a-0fb6379209b3,"пополся хрящ от курицы
наверно можно более аккуратно готовить ",SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
59,29be0a09c-9ec9-411a-936a-0fb6379209b3,"пополся хрящ от курицы
наверно можно более аккуратно готовить ",SENTIMENT_NEGATIVE,Свежесть и качество,Правильные условия хранения
60,23b241956-799a-4ba6-81f6-fd6624a3aeaf,"свежие, сочные, сладкие ",SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
61,ed66954e-16c8-4d0b-bc1a-b620d46024d13a80d746-a00e-44eb-9c83-2c2e08e0fe91,Очень хорошие сотрудники. Всегда приветливые и помогают в выборе товара,SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
62,220b79ab6-e94d-4a3c-8465-afc13f76676b,"все хорошо,не дорого.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
63,220b79ab6-e94d-4a3c-8465-afc13f76676b,"все хорошо,не дорого.",SENTIMENT_POSITIVE,Уровень цен,Выгодность цен
64,309d07a2-70d9-47b2-8ed8-c317fa073bd7735a5098-826d-40a6-b9d7-03d2ae15b05b,"Хожу часто,все нравится, ассортимент и акции",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
65,309d07a2-70d9-47b2-8ed8-c317fa073bd7735a5098-826d-40a6-b9d7-03d2ae15b05b,"Хожу часто,все нравится, ассортимент и акции",SENTIMENT_POSITIVE,Скидки и акции,Цена после скидки
66,267a18f7a-a3fb-40a4-977a-e647ebd897d9,вкусно,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
67,29c8ac40e-e524-45ab-a059-982fa64fb870,"Одни из лучших. Можно как самостоятельный продукт, так и как база под тени. ",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
68,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe3936591b-f16f-4167-a765-03d11b668535,"Потому что сегодня в этом магазине, я купила хорошие лимоны.",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
69,d2a1c852-83ce-4dd6-87e2-60bac45740427e1bcf46-c17e-4882-a451-ce462502ecda,Скидки по купонам. А то купоны из игр не действуют.,SENTIMENT_POSITIVE,Скидки и акции,Цена после скидки
70,d2a1c852-83ce-4dd6-87e2-60bac45740427e1bcf46-c17e-4882-a451-ce462502ecda,Скидки по купонам. А то купоны из игр не действуют.,SENTIMENT_NEGATIVE,Удобство и скорость кассы,Удобство применения промо-купонов на кассе
71,6d0ae636-52ad-4fa5-b4e8-0fead2cc84feb78f94a5-a883-49c6-8cf2-a6a6dce47950,Полки полупустые.,SENTIMENT_NEGATIVE,Широта выбора и наличие товаров,Наличие товара на полке
72,20565728-6fde-458e-962e-70600a9e452bca2c0cf6-e5ef-45a7-9e22-eee7795c1d41,"Цены , чтобы были ниже.",SENTIMENT_NEGATIVE,Уровень цен,Выгодность цен
73,24f228f94-6e2f-464a-99f7-f926a6fb52f9,Свежий и вкусный. ,SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
74,22806f874-cddd-43d0-acbe-6e8222ea80be,очень много  продукта с порезами и чёрными прожилками,SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
75,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe69f68e4e-7f6c-4a78-9999-12a6c3401c0c,"Удобный магазин, большой ассортимент",SENTIMENT_POSITIVE,Удобство расположения магазина/входа/режима работы,Удобство расположения магазина
76,236b6c868-9f98-458f-9cf2-d821e31c4672,очень вкусно ,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
77,6d0ae636-52ad-4fa5-b4e8-0fead2cc84feac341659-b84e-45b3-848b-5405d579fac7,"Апельсиновый сок на кассе самообслуживания оказался 300 РУБЛЕЙ, когда по ценникам он был около 230₽. Кпждый раз с ценниками что-то не так",SENTIMENT_NEGATIVE,Ценники,Корректность ценника
81,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe2450d20f-ba36-4746-8813-f9494ec29fd5,"Хороший выбор продуктов, вежливые продавцы",SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Ассортимент товара
82,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe2450d20f-ba36-4746-8813-f9494ec29fd5,"Хороший выбор продуктов, вежливые продавцы",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
83,6d0ae636-52ad-4fa5-b4e8-0fead2cc84feb56c4c74-aa0d-472c-9d6d-02d3499c4c43,На некоторый товар не было ценников,SENTIMENT_NEGATIVE,Ценники,Наличие ценников
85,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fed45e054c-1919-4bb3-9484-343376d6ecff,"Несвежие овощи и фрукты.Скудный ассортимент товаров.Нет контрольных весов и аппарата проверки цены.Бошьше года пишу вам об этом, результат нулевой.Буду жаловаться в Роспотребнадзор",SENTIMENT_NEGATIVE,Свежесть и качество,Свежесть продуктов
86,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fed45e054c-1919-4bb3-9484-343376d6ecff,"Несвежие овощи и фрукты.Скудный ассортимент товаров.Нет контрольных весов и аппарата проверки цены.Бошьше года пишу вам об этом, результат нулевой.Буду жаловаться в Роспотребнадзор",SENTIMENT_NEGATIVE,Широта выбора и наличие товаров,Ассортимент товара
87,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fed45e054c-1919-4bb3-9484-343376d6ecff,"Несвежие овощи и фрукты.Скудный ассортимент товаров.Нет контрольных весов и аппарата проверки цены.Бошьше года пишу вам об этом, результат нулевой.Буду жаловаться в Роспотребнадзор",SENTIMENT_NEGATIVE,Удобство поиска нужного товара,Удобство взвесить товар или проверить вес
88,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fed45e054c-1919-4bb3-9484-343376d6ecff,"Несвежие овощи и фрукты.Скудный ассортимент товаров.Нет контрольных весов и аппарата проверки цены.Бошьше года пишу вам об этом, результат нулевой.Буду жаловаться в Роспотребнадзор",SENTIMENT_NEGATIVE,Ценники,Удобство проверки цены товара ДО покупки
91,148fc5fc-c83c-4505-b050-1b039e56598530812691-8977-47b8-a5bf-68a59fb17363,"Повысить качество товаров, поднять зарплату работникам, потому что работают один за троих за нехватке людей в магазине.",SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
92,280fec27d-0221-4150-9587-25e2b8d2c0b2,"Очень вкусные, свежие семечки. Корзинки тонкие, хрустящие. Есть - одно удовольствие ",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
93,280fec27d-0221-4150-9587-25e2b8d2c0b2,"Очень вкусные, свежие семечки. Корзинки тонкие, хрустящие. Есть - одно удовольствие ",SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
94,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe9fd7a5ac-bda0-4b17-ab53-d35194aca549,Приветливый персонал свежая продукция приемлемые цены.,SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
95,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe9fd7a5ac-bda0-4b17-ab53-d35194aca549,Приветливый персонал свежая продукция приемлемые цены.,SENTIMENT_POSITIVE,Свежесть и качество,Свежесть продуктов
96,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe9fd7a5ac-bda0-4b17-ab53-d35194aca549,Приветливый персонал свежая продукция приемлемые цены.,SENTIMENT_POSITIVE,Уровень цен,Выгодность цен
97,2ba54ca22-0b6c-4dd0-868e-fe00eec99fbb,"Самое лучшее белое вино, которое пробовала. Очень мягкий вкус, лёгкая игристость делает вино неповторимый. ",SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
98,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe15615a4a-a012-463a-84ef-df509f8b63c3,"Не всё, что хотел купить было в наличии",SENTIMENT_NEGATIVE,Широта выбора и наличие товаров,Наличие товара на полке
100,2160a5e13-5a44-4884-98ac-191234e330b3,Низкое кач/ство конфеты априори.,SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
101,ed66954e-16c8-4d0b-bc1a-b620d46024d13e333a9d-93e6-4bdd-99d0-f9468784e146,"Все понравилось, сотрудники молодцы",SENTIMENT_POSITIVE,Вежливость и отзывчивость,"Компетентность, отзывчивость и дружелюбность сотрудников зала"
102,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fec508a2d8-c6c2-40d0-aaba-4eedd05da11e,Не было некоторых продуктов в наличии. Ценники на сыр разные: за 100 гр продукта и за упаковку,SENTIMENT_NEGATIVE,Широта выбора и наличие товаров,Наличие товара на полке
103,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fec508a2d8-c6c2-40d0-aaba-4eedd05da11e,Не было некоторых продуктов в наличии. Ценники на сыр разные: за 100 гр продукта и за упаковку,SENTIMENT_NEGATIVE,Ценники,Понятность ценников
104,148fc5fc-c83c-4505-b050-1b039e565985fd99cbfc-0b46-4f78-b184-b68816af8218,"В плане колбасы, хотелось бы увидеть на прилавках большей фасовки 1 кг и больше. Хотя бы какие-то виды.",SENTIMENT_NEGATIVE,Широта выбора и наличие товаров,Широта выбора товаров в определённой категории
105,148fc5fc-c83c-4505-b050-1b039e5659858abe0692-d432-460f-8400-7d2df92e3406,"Развивайтесь,радуйте предложениями и акциями",SENTIMENT_POSITIVE,Условия по карте лояльности,Привлекательность промо-механик
106,2f12513ab-0519-445c-b6e0-2923f982d985,"Цена на этикетке не соответствует . Четко видела цену 109, дома в электронном чеке увидела, что 139",SENTIMENT_NEGATIVE,Ценники,Корректность ценника
109,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe8ae2ddb3-d6b5-4072-8a10-6c2e5774dd3f,Продавец сканирует купон на скидку потом сканирует карту магнитна в итоге дома смртрюв приложении сколько балов начислено а оказывается у меня сегодня нет покупок.ЗАЧЕМ ДЕЛАТЬ ВИД ЧТО ВСЕ СКДКИ ПРОШЛИ,SENTIMENT_NEGATIVE,Удобство и скорость кассы,Удобство применения карты лояльности на кассе
110,2d8c5575c-2fee-40d3-90ad-7f3ba4b9aa3e,привезли вместо 5 всего 4... один оказался сломаным,SENTIMENT_NEGATIVE,Широта выбора и наличие товаров,Наличие товара на полке
111,2d8c5575c-2fee-40d3-90ad-7f3ba4b9aa3e,привезли вместо 5 всего 4... один оказался сломаным,SENTIMENT_NEGATIVE,Свежесть и качество,Качество товара
112,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe6833e93e-269e-4134-ab3a-cb45e0ba579a,Всё хорошо 👍! Все товары какие надо есть удобно разложины просто супер!,SENTIMENT_POSITIVE,Широта выбора и наличие товаров,Наличие товара на полке
113,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe6833e93e-269e-4134-ab3a-cb45e0ba579a,Всё хорошо 👍! Все товары какие надо есть удобно разложины просто супер!,SENTIMENT_POSITIVE,Удобство поиска нужного товара,Удобство и понятность выкладки товаров
114,22ea99475-c3c3-4094-a0be-3c3fd7d452de,изысканный деликатес,SENTIMENT_POSITIVE,Свежесть и качество,Качество товара
115,6d0ae636-52ad-4fa5-b4e8-0fead2cc84fe3b687a07-158d-4591-b6e4-3e9ec282b405,"Вечно нет цен, персонал не хочет работать. Цены не верные на товары.",SENTIMENT_NEGATIVE,Ценники,Наличие ценников
